country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362,0.374,0.411,0.39,0.398,0.403,0.454,0.452,0.489,0.497,0.506,0.527,0.53,0.532,0.528,0.527,0.526,0.521
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398,0.423,0.44,0.468,0.443,0.449,0.438,0.419,0.426,0.436,0.435,0.446,0.447,0.453,0.44,0.443,0.45,0.446,0.458,0.463,0.467,0.48,0.477,0.486
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379,0.322,0.348,0.349,0.336,0.327,0.302,0.302,0.324,0.325,0.396,0.382,0.394,0.395,0.412,0.429,0.474,0.481,0.457,0.44,0.459
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331,0.252,0.302,0.319,0.21,0.222,0.27,0.379,0.412,0.403,0.355,0.372,0.346,0.343,0.49,0.419,0.391,0.396,0.428,0.468,0.487,0.47,0.468,0.432,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,0.751,0.756,0.751,0.736,0.731,0.757,0.765,0.768,0.758,0.724,0.719,0.717,0.715,0.725,0.723,0.732,0.742,0.742,0.737,0.737,0.74,0.744,0.742,0.763,0.759,0.75,0.745,0.732,0.726,0.683,0.676,0.672,0.685,0.707,0.721,0.716,0.709,0.704,0.699,0.685,0.674,0.658,0.668
Argentina,,,,,,0.387,0.401,0.426,0.432,0.434,0.481,0.432,0.434,0.447,0.462,0.433,0.41,0.441,0.464,0.482,0.524,0.532,0.493,0.498,0.519,0.531,0.548,0.541,0.525,0.48,0.559,0.606,0.633,0.611,0.616,0.623,0.614,0.608,0.615,0.635,0.635,0.651,0.548,0.51,0.478,0.485,0.487,0.495,0.503,0.533,0.515,0.518,0.537,0.539,0.529,0.558,0.561,0.57,0.555,0.536
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457,0.457,0.474,0.482,0.499,0.508,0.526,0.542
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.594,0.611,0.618,0.624,0.624,0.623,0.624,0.633,0.635,0.643,0.643,0.641,0.64,0.643,0.643,0.644,0.637,0.644,0.645,0.641,0.657,0.647,0.653,0.663,0.658,0.673,0.683,0.671,0.667,0.661
Austria,,,,,,,,,,,,,,,,,0.496,0.505,0.505,0.517,0.516,0.522,0.534,0.54,0.542,0.546,0.55,0.556,0.557,0.561,0.561,0.564,0.573,0.584,0.582,0.589,0.587,0.585,0.589,0.587,0.593,0.595,0.603,0.604,0.603,0.606,0.607,0.603,0.61,0.622,0.623,0.623,0.62,0.623,0.627,0.629,0.627,0.625,0.625,0.625
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,0.342,0.288,0.359,0.38,0.379,0.308,0.358,0.433,0.39,0.358,0.345,0.325,0.319,0.318,0.251,0.235,0.218,0.237,0.313,0.282,0.277,0.295,0.315,0.342,0.407,0.393,0.381,0.353,0.374
