country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,0.0423,0.0433,0.0502,0.0565,0.0487,0.041,0.0424,0.045,0.053,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,
Angola,,,,,,,,,,,,,,,,,,,,,,0.0168,,,,,,
Argentina,,,,,,,,,,,,,,,0.0192,0.0151,0.0131,,0.0101,0.0104,0.00962,0.00851,0.00932,0.00873,0.00906,,,0.0123
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,0.0754,0.0694,0.051,
Australia,0.0095,0.0137,0.0183,0.0183,0.0169,0.0138,0.013,0.0139,0.0131,0.0109,0.00933,0.00951,0.00882,0.00828,0.00742,0.00643,0.0064,0.00596,0.00558,0.00736,0.00799,0.00815,0.00814,0.00888,0.0108,0.0108,0.0108,0.0104
Austria,,,,,0.00758,0.00958,0.01,0.0115,0.0114,0.0109,0.00885,0.00781,0.00664,0.0074,0.0112,0.0109,0.0103,0.0105,0.00814,0.00915,0.00871,0.0087,0.0095,0.0106,0.0112,0.0113,0.0124,0.0119
Azerbaijan,,,,,,,,,,,,,,,,,,,,0.0291,0.0293,0.0283,0.0266,0.0261,0.0257,0.0259,0.0261,0.0255
Bangladesh,,,,,,,,,,,,,,,,,0.000911,,,,0.00941,,,0.0111,,,,0.00572
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00833,
Belgium,,,0.0232,0.0262,0.0318,0.032,0.0327,0.0304,0.0312,0.027,0.0219,0.0155,0.0186,0.0188,0.0204,0.0248,0.0233,0.0214,0.018,0.0192,0.022,0.0181,0.0169,0.0205,0.0203,0.0202,0.0195,0.0175
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0342,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,0.00777,,0.0102,,
Bolivia,,,,,,,,,,,,,,,,0.0126,0.00894,0.006,0.00543,0.00598,,0.00408,0.00411,0.00601,0.00516,0.00556,0.00852,0.00706
