country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.13,0.118,0.0853,0.0645,0.0847,0.0829,0.0795,0.0768,0.0741,0.071,0.0687,0.102,0.108,0.118,0.118,0.128,0.137,0.157,0.163,0.188,0.205,0.216,0.219,0.219,0.219,0.218,0.208,0.209,0.211,0.212,0.215,0.218
Albania,0.141,0.112,0.102,0.103,0.107,0.129,0.144,0.138,0.149,0.159,0.164,0.175,0.177,0.189,0.204,0.215,0.272,0.282,0.325,0.35,0.343,0.326,0.359,0.379,0.383,0.391,0.393,0.406,0.417,0.428,0.44,0.45
Algeria,0.525,0.522,0.512,0.51,0.518,0.541,0.554,0.539,0.547,0.571,0.564,0.591,0.618,0.465,0.498,0.476,0.455,0.44,0.404,0.41,0.421,0.415,0.404,0.348,0.344,0.35,0.348,0.354,0.355,0.354,0.353,0.354
Angola,0.499,0.518,0.452,0.463,0.467,0.484,0.494,0.515,0.503,0.513,0.531,0.516,0.525,0.538,0.53,0.522,0.525,0.515,0.474,0.444,0.409,0.411,0.423,0.426,0.428,0.425,0.411,0.413,0.417,0.422,0.428,0.434
Argentina,0.801,0.809,0.836,0.854,0.848,0.875,0.883,0.892,0.892,0.897,0.896,0.904,0.879,0.883,0.887,0.889,0.892,0.895,0.9,0.903,0.898,0.903,0.909,0.915,0.918,0.918,0.92,0.922,0.924,0.925,0.926,0.927
Armenia,0.384,0.439,0.37,0.309,0.328,0.351,0.376,0.355,0.371,0.385,0.385,0.39,0.41,0.432,0.442,0.462,0.483,0.482,0.489,0.469,0.48,0.484,0.488,0.514,0.524,0.542,0.533,0.543,0.551,0.56,0.567,0.574
Australia,0.836,0.842,0.84,0.843,0.848,0.851,0.852,0.859,0.861,0.863,0.87,0.874,0.878,0.88,0.882,0.881,0.884,0.885,0.889,0.891,0.896,0.897,0.9,0.9,0.905,0.904,0.906,0.908,0.91,0.911,0.912,0.914
Austria,0.708,0.722,0.736,0.748,0.743,0.758,0.777,0.785,0.79,0.795,0.799,0.81,0.812,0.818,0.818,0.813,0.814,0.825,0.834,0.835,0.829,0.831,0.828,0.827,0.837,0.841,0.841,0.844,0.846,0.849,0.851,0.853
Azerbaijan,0.556,0.57,0.527,0.489,0.486,0.456,0.471,0.495,0.493,0.523,0.532,0.529,0.523,0.515,0.506,0.526,0.542,0.531,0.503,0.494,0.499,0.499,0.505,0.512,0.521,0.519,0.506,0.505,0.506,0.511,0.515,0.521
Bahamas,0.934,0.935,0.938,0.931,0.936,0.931,0.922,0.934,0.936,0.929,0.925,0.941,0.939,0.945,0.946,0.945,0.944,0.951,0.958,0.952,0.943,0.94,0.942,0.938,0.943,0.944,0.943,0.944,0.944,0.944,0.944,0.944
