country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,0.0635,0.0466,0.0479,0.0568,0.0569,0.0648,0.068,0.07,0.0686,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,0.0298,,,
Angola,,,,,,,,,,,,,,,,,,,,,,0.0144,,,,,,
Argentina,,,,,,,,,,,,,,,0.0151,0.0126,0.00905,,0.00749,0.00801,0.00766,0.00713,0.00686,0.00721,0.00803,,,0.0104
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.073,0.0574,
Australia,0.0153,0.025,0.0349,0.0359,0.0305,0.0245,0.0222,0.0232,0.0224,0.0184,0.0155,0.0153,0.0145,0.0128,0.0109,0.00941,0.00885,0.00637,0.00629,0.0102,0.0103,0.00918,0.01,0.0115,0.0135,0.014,0.013,0.013
Austria,,,,,0.00969,0.00796,0.0114,0.0115,0.0115,0.0104,0.0109,0.00813,0.00827,0.0109,0.0127,0.0128,0.0126,0.0109,0.00947,0.0123,0.0124,0.0111,0.0118,0.013,0.0153,0.0175,0.0187,0.017
Azerbaijan,,,,,,,,,,,,,,,,,,,,0.0217,0.0194,0.0195,0.019,0.0179,0.0178,0.0182,0.0188,0.0178
Bangladesh,,,,,,,,,,,,,,,,,0.00135,,,,0.0131,,,0.00833,,,,0.0054
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166,
Belgium,,,0.0168,0.0195,0.0274,0.0275,0.0273,0.0266,0.0279,0.0272,0.0186,0.0188,0.0203,0.023,0.023,0.0246,0.0237,0.0214,0.0199,0.0229,0.027,0.0223,0.0237,0.0273,0.0298,0.0293,0.0256,0.0228
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0115,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,0.00534,,0.00543,,
Bolivia,,,,,,,,,,,,,,,,0.00692,0.0072,0.005,0.00356,,,0.00309,0.00245,0.00244,0.00199,0.00391,0.00321,0.00457
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,0.105,0.0999,0.0775,0.0789,0.0872,0.0865,0.0885,,0.09,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,0.0209,,,0.029
Bulgaria,,,,,,,,,,,0.0596,0.0774,0.0698,0.0526,0.0407,0.0352,0.0288,0.0235,0.0186,0.0216,0.0371,0.0452,0.0497,0.0525,0.0485,0.0383,0.03,0.0237
Cambodia,,,,,,,,,,,,,,,,,,,,,,,0.00153,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,0.0108,,,,,,,
Canada,0.00885,0.0149,0.0202,0.022,0.0196,0.0156,0.0153,0.0136,0.0112,0.00937,0.00746,0.00693,0.00819,0.00826,0.00741,0.0065,0.00542,0.00522,0.00544,0.00931,0.0113,0.0103,0.00876,0.00876,0.00859,0.00826,0.00902,0.00811
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0247
Chile,,,,,,,,,,,,,,,,,,,,,0.00975,0.0078,0.00627,0.00556,0.00735,0.00717,0.00907,0.0103
Colombia,,,,,,,,,,,,0.036,0.0268,0.0237,0.0226,0.0178,,0.0112,0.0104,0.0121,0.0127,0.0109,0.00982,0.00879,0.00851,0.00752,0.0084,0.00909
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,0.00663,0.00826,0.00995,0.00914,0.00688,0.00733
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00493,
Croatia,,,,,,,,,,,,,0.0433,0.0431,0.0402,0.0375,0.0323,0.0311,0.0256,0.0272,0.0396,0.053,0.0594,0.0675,0.0608,0.0601,0.0411,0.0309
Cuba,,,,,,,,,,,,,,,,,,,,0.00243,0.00444,,,,,,,
Cyprus,,,,,,,,,,,0.00535,0.00451,0.00396,0.00587,0.00641,0.00678,0.00565,0.00566,0.00433,0.00634,0.0115,0.015,0.0272,0.0404,0.045,0.0374,0.0304,0.0235
Czech Republic,,,,0.00633,0.00736,0.00903,0.00859,0.0104,0.0145,0.0235,0.0287,0.0259,0.0233,0.0219,0.027,0.0264,0.0241,0.017,0.0138,0.017,0.0239,0.0203,0.0215,0.0211,0.0184,0.0157,0.0114,0.00753
Denmark,,,0.0242,0.0262,0.0216,0.0172,0.0144,0.0117,0.00898,0.01,0.00839,0.008,0.0073,0.0126,0.0137,0.0103,0.00668,0.00561,0.00389,0.0101,0.0196,0.0186,0.0181,0.0143,0.014,0.0139,0.0122,0.0122
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,0.00572,0.00561,0.00428
Ecuador,,,,,,,,,,,0.0127,0.00759,,0.0105,0.00629,0.00466,0.00439,0.00323,0.00273,0.00401,0.00393,0.00297,0.00268,0.00248,0.00226,0.00295,0.00517,0.00448
Egypt,,,,,,,,,,,,,,,,,,,0.0232,0.0215,0.0202,0.0292,0.0404,0.0427,,0.0393,0.0355,0.032
