country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.236,0.226,0.183,0.151,0.185,0.179,0.174,0.17,0.166,0.161,0.158,0.211,0.219,0.233,0.232,0.242,0.25,0.273,0.284,0.31,0.325,0.337,0.339,0.337,0.341,0.339,0.332,0.333,0.336,0.338,0.341,0.345
Albania,0.164,0.164,0.163,0.168,0.17,0.223,0.224,0.24,0.261,0.264,0.272,0.276,0.275,0.287,0.302,0.312,0.379,0.347,0.384,0.38,0.369,0.386,0.396,0.408,0.413,0.422,0.425,0.437,0.447,0.457,0.467,0.476
Algeria,0.512,0.514,0.51,0.508,0.51,0.519,0.526,0.521,0.524,0.533,0.53,0.527,0.526,0.526,0.503,0.484,0.469,0.461,0.442,0.446,0.457,0.452,0.473,0.404,0.403,0.412,0.413,0.418,0.418,0.417,0.416,0.417
Angola,0.564,0.574,0.529,0.526,0.515,0.52,0.527,0.549,0.533,0.564,0.572,0.544,0.549,0.556,0.544,0.523,0.518,0.505,0.49,0.437,0.408,0.402,0.412,0.411,0.416,0.414,0.404,0.406,0.408,0.411,0.415,0.419
Argentina,0.584,0.586,0.611,0.618,0.646,0.659,0.642,0.645,0.667,0.68,0.691,0.714,0.695,0.674,0.666,0.66,0.651,0.65,0.657,0.656,0.657,0.66,0.651,0.644,0.649,0.651,0.656,0.657,0.658,0.659,0.66,0.661
Armenia,0.311,0.291,0.273,0.257,0.282,0.302,0.319,0.324,0.337,0.347,0.355,0.366,0.377,0.389,0.396,0.401,0.413,0.395,0.389,0.417,0.413,0.421,0.449,0.46,0.456,0.467,0.466,0.472,0.479,0.486,0.492,0.498
Australia,0.615,0.617,0.616,0.619,0.627,0.631,0.633,0.638,0.642,0.636,0.646,0.646,0.651,0.647,0.649,0.646,0.647,0.642,0.647,0.649,0.654,0.655,0.659,0.658,0.673,0.673,0.677,0.68,0.682,0.683,0.685,0.687
Austria,0.449,0.464,0.464,0.495,0.502,0.519,0.526,0.527,0.524,0.519,0.531,0.529,0.53,0.573,0.551,0.544,0.553,0.568,0.58,0.581,0.571,0.572,0.579,0.577,0.574,0.577,0.576,0.578,0.58,0.583,0.585,0.587
Azerbaijan,0.494,0.456,0.43,0.419,0.409,0.399,0.416,0.431,0.435,0.456,0.464,0.462,0.458,0.436,0.433,0.436,0.432,0.433,0.481,0.468,0.463,0.463,0.467,0.468,0.472,0.469,0.464,0.469,0.473,0.475,0.479,0.483
Bahamas,0.674,0.677,0.725,0.72,0.71,0.696,0.723,0.706,0.666,0.651,0.661,0.662,0.696,0.659,0.643,0.653,0.666,0.68,0.674,0.699,0.735,0.726,0.725,0.719,0.748,0.753,0.753,0.753,0.753,0.754,0.754,0.754
Bahrain,0.644,0.655,0.67,0.656,0.648,0.665,0.657,0.664,0.681,0.668,0.656,0.658,0.656,0.66,0.633,0.604,0.577,0.561,0.569,0.56,0.569,0.568,0.572,0.569,0.564,0.561,0.57,0.566,0.562,0.56,0.562,0.562
Bangladesh,0.207,0.222,0.243,0.258,0.272,0.298,0.288,0.284,0.282,0.28,0.309,0.342,0.381,0.405,0.429,0.429,0.419,0.412,0.403,0.398,0.385,0.382,0.383,0.406,0.431,0.444,0.464,0.476,0.488,0.498,0.508,0.516
Barbados,0.634,0.628,0.644,0.644,0.643,0.647,0.627,0.626,0.635,0.634,0.642,0.646,0.651,0.66,0.634,0.604,0.584,0.558,0.517,0.519,0.661,0.684,0.668,0.652,0.671,0.67,0.67,0.671,0.672,0.673,0.674,0.675
Belarus,0.269,0.264,0.286,0.303,0.296,0.298,0.302,0.316,0.327,0.336,0.36,0.369,0.37,0.366,0.38,0.388,0.394,0.387,0.399,0.411,0.415,0.417,0.417,0.421,0.435,0.44,0.442,0.446,0.45,0.458,0.462,0.467
Belgium,0.561,0.564,0.579,0.584,0.589,0.595,0.601,0.6,0.602,0.61,0.629,0.621,0.629,0.616,0.626,0.62,0.627,0.618,0.634,0.64,0.639,0.658,0.654,0.658,0.657,0.659,0.658,0.659,0.66,0.662,0.664,0.666
Belize,0.385,0.437,0.449,0.467,0.435,0.427,0.41,0.46,0.444,0.444,0.458,0.474,0.49,0.496,0.505,0.507,0.51,0.499,0.515,0.527,0.527,0.539,0.545,0.556,0.564,0.586,0.581,0.576,0.579,0.58,0.58,0.58
Benin,0.31,0.315,0.312,0.31,0.317,0.308,0.31,0.313,0.287,0.294,0.294,0.296,0.3,0.301,0.303,0.306,0.316,0.329,0.326,0.329,0.294,0.305,0.308,0.311,0.31,0.314,0.296,0.301,0.307,0.312,0.317,0.324
Bhutan,0.176,0.172,0.18,0.175,0.197,0.207,0.219,0.22,0.224,0.225,0.222,0.228,0.235,0.261,0.311,0.351,0.326,0.333,0.358,0.385,0.36,0.392,0.389,0.375,0.376,0.389,0.388,0.399,0.407,0.401,0.399,0.406
Bolivia,0.336,0.34,0.343,0.345,0.348,0.354,0.356,0.363,0.371,0.347,0.338,0.323,0.368,0.368,0.381,0.391,0.399,0.419,0.42,0.421,0.42,0.442,0.437,0.408,0.421,0.423,0.426,0.43,0.432,0.434,0.437,0.44
Bosnia and Herzegovina,0.224,0.223,0.223,0.219,0.234,0.274,0.308,0.325,0.36,0.393,0.397,0.411,0.416,0.416,0.418,0.428,0.428,0.426,0.434,0.443,0.441,0.447,0.446,0.449,0.386,0.421,0.422,0.427,0.431,0.434,0.438,0.442
Botswana,0.469,0.478,0.489,0.506,0.514,0.512,0.509,0.473,0.51,0.517,0.516,0.489,0.453,0.46,0.468,0.467,0.473,0.478,0.469,0.488,0.473,0.472,0.483,0.486,0.48,0.491,0.49,0.493,0.497,0.5,0.503,0.507
Brazil,0.441,0.433,0.438,0.422,0.458,0.465,0.467,0.473,0.476,0.49,0.498,0.49,0.495,0.487,0.491,0.5,0.502,0.502,0.509,0.516,0.522,0.542,0.543,0.552,0.562,0.577,0.577,0.578,0.58,0.582,0.584,0.586
Brunei,0.662,0.658,0.662,0.664,0.649,0.636,0.646,0.655,0.692,0.698,0.695,0.689,0.705,0.716,0.724,0.734,0.737,0.73,0.733,0.734,0.734,0.735,0.735,0.752,0.753,0.76,0.763,0.763,0.767,0.769,0.772,0.767
Bulgaria,0.388,0.399,0.426,0.442,0.439,0.477,0.444,0.46,0.454,0.47,0.516,0.508,0.507,0.504,0.504,0.502,0.493,0.481,0.491,0.51,0.533,0.547,0.555,0.546,0.547,0.548,0.555,0.559,0.562,0.564,0.567,0.569
Burkina Faso,0.0906,0.0905,0.0906,0.0863,0.0904,0.0926,0.096,0.1,0.106,0.113,0.117,0.121,0.125,0.133,0.137,0.147,0.178,0.196,0.225,0.253,0.28,0.307,0.332,0.319,0.328,0.333,0.337,0.342,0.348,0.352,0.357,0.362
Burundi,0.0935,0.0918,0.0864,0.0912,0.0897,0.0838,0.088,0.0897,0.0879,0.0887,0.0908,0.0914,0.0903,0.0911,0.0893,0.0913,0.096,0.0961,0.0949,0.0964,0.0968,0.0981,0.0999,0.101,0.0969,0.0996,0.0982,0.0976,0.0982,0.0989,0.0997,0.101
